date,parkingHours,engineHours,moveTimeHours,mileage,avgSpeed,maxSpeed,consumed,avgConsumed,timestamp,week,ratio
2022-05-22,57.28,37.22,37.89,1726.0,72.0,323,215.25,8.018583042973287,6612710400.0,21,5.783181085437937
2022-05-23,47.79,45.230000000000004,48.730000000000004,2060.0,85.0,327,258.0,7.984496124031008,6613056000.0,21,5.704178642493919
2022-05-24,47.49,46.120000000000005,49.64,2102.0,86.0,332,259.0,8.115830115830116,6613401600.0,21,5.615784908933217
2022-05-25,46.56,48.18,47.72,2008.0,86.0,327,280.0,7.171428571428572,6613747200.0,21,5.8115400581154
2022-05-26,32.120000000000005,28.2,27.86,1116.0,74.0,325,183.14,6.093698809653818,6614092800.0,21,6.494326241134751
